"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"ETV1",2.40379058647698e-38,1.30320575043999,0.325000627279471,-0.268987238841831,"DE (up) in MLH1"
"AGK",0.27371990521915,-0.202375459594946,0.928095412815359,0.0483456850705448,"Not DE"
"ALDH3B1",1.67343633697109e-16,1.60561053669871,0.994116180364738,-0.00818299611526978,"DE (up) in MLH1"
"TTC22",0.336708155649938,2.52371825566075,NA,-0.927374278163098,"Not DE"
"PHTF2",3.91897498269365e-34,0.94856078415047,0.00176657714296003,-0.367462384462306,"Not DE"
"CCL26",0.0313641563445473,3.45452087850947,NA,-1.43897950367123,"Not DE"
"FARP2",0.0270786586151131,0.262998482201061,0.215655796931903,0.24567280053425,"DE (up) in MLH1"
"USH1C",NA,0.817476493946865,NA,1.30463431269552,"Not DE"
"GGCT",0.209525391959399,-0.212216396607542,0.707085604543426,0.111078712441954,"Not DE"
"DBF4",0.0119775001924508,0.346992959802605,0.972893540981692,-0.0118564014323404,"DE (up) in MLH1"
"TBXA2R",0.000135224615684756,0.712528293322027,0.157539488383719,0.496537536916622,"DE (up) in MLH1"
"IFRD1",0.295596187953913,0.100250213811432,0.150919580843413,-0.184540281263865,"Not DE"
"LGALS14",NA,1.68290557785691,NA,-2.20251593538045,"Not DE"
"COX10",0.120648341726555,-0.207719068102944,0.859027722960371,0.0621522968491402,"Not DE"
"GTF2IRD1",2.8799061243071e-10,0.939801142279981,0.505448033863966,0.161616396650103,"DE (up) in MLH1"
"PAF1",0.225608191404425,0.221377438971692,0.88780512350265,-0.0498280677100428,"Not DE"
"VPS41",0.993507761825457,0.00142073195917751,0.713932265403494,-0.140640586734634,"Not DE"
"ARHGAP44",0.162569109741527,-1.26131684502105,0.94877570854197,-0.144728737189307,"Not DE"
"ELAC2",0.259716792604717,0.119650168922262,0.114490215858712,0.160703846868887,"Not DE"
"SCIN",0.125656962829389,1.00587824879381,0.120485800080142,1.31786791150207,"Not DE"
"ARSD",0.394995868941197,0.444643295957385,0.292828096209756,-0.761781319034,"Not DE"
"PNPLA4",0.0750918961068299,-0.600882968558592,0.412376399167363,0.442038066164451,"Not DE"
"MYH13",NA,-2.62641370384114,NA,-0.814047889434528,"Not DE"
"CDKL3",0.0694159037035481,-0.877025574784667,0.708608555864538,-0.300466676875357,"Not DE"
"UPP2",NA,NA,NA,-2.36596962735161,"Not DE"
"MARK4",4.314200927255e-08,-0.767867285481814,0.707085604543426,0.121331626101096,"DE (down) in MLH1"
"PROM1",0.552005026085219,-1.63530055651229,NA,-0.620727643250661,"Not DE"
"CCDC124",1.00486843099875e-17,-0.83606743675314,0.948405348043924,-0.0200314971571301,"DE (down) in MLH1"
"CEACAM21",NA,NA,NA,NA,"Not DE"
"PAFAH1B1",0.787733206933581,0.0294617828851738,0.677535779537936,-0.0644466615544795,"Not DE"
"NOS2",NA,0.817476493946865,NA,NA,"Not DE"
"DNAH9",0.797006670851505,-0.480409449482652,0.600534533754297,-1.30660478692185,"Not DE"
"BLTP2",0.535850127432882,-0.0484038089059391,0.732560144319692,0.0583541706525928,"Not DE"
"SLC13A2",NA,-1.10607685769562,NA,-0.814047889434528,"Not DE"
"GAS7",0.919942981596091,0.179135985033388,0.901649574986602,-0.466218442573769,"Not DE"
"TRAPPC6A",0.827575082027463,-0.733949742536606,NA,3.13503140796324,"Not DE"
"MATK",NA,-1.28984151981103,NA,-0.698839701712325,"Not DE"
"CEACAM7",NA,0.817476493946864,NA,NA,"Not DE"
"CD79B",0.205929319361899,3.84029215394643,NA,-0.778563962326314,"Not DE"
